Cat Course,Subj Code,Crse Numb,Csta Code,Long Course Title,Coll Code,Coll Desc,Dept Desc,Cat Preq Term Code Eff,Cat Preq Seqno,Cat Preq Connector,Cat Preq Conn Desc,Cat Preq Lparen,Cat Preq Course,Cat Preq Subj Code,Cat Preq Crse Numb,Cat Preq Levl Code,Cat Preq Min Grde,Preq,Cat Preq Concurrency Ind,Cat Preq Rparen,Cat Preq Tesc Code,Cat Preq Test Score
0000 101,0,101,A,Full-Time Tuition Charges,0,No College Designated,Undeclared,,,,,, ,,,,,1,,,,
0000 102,0,102,A,ESL Tuition Charges,0,No College Designated,Undeclared,,,,,, ,,,,,1,,,,
0000 103,0,103,A,Program Change Re-Assessment,0,No College Designated,Undeclared,,,,,, ,,,,,1,,,,
AADM 505,AADM,505,A,Overview of the Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 510,AADM,510,A,Writing for the Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 520,AADM,520,A,Creative Enterprise and Innovation,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 610,AADM,610,A,Financial Accounting for Non-Profit Arts Organizations,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,201615,2,O,Or,,ACCT 115,ACCT,115,UG,D,1,,,,
AADM 610,AADM,610,A,Financial Accounting for Non-Profit Arts Organizations,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,201615,1,,,,ACCT 110,ACCT,110,UG,D,1,,,,
AADM 620,AADM,620,A,Legal and Ethical Issues in the Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 650,AADM,650,A,Revenue Development in the Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 660,AADM,660,A,International Cultural Policy,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 675,AADM,675,A,Marketing and Engagement in the Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 710,AADM,710,A,"Leadership, Strategy and Planning in the Arts",A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 720,AADM,720,A,Leadership in the Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 731,AADM,731,A,Human Resources Management in the Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 740,AADM,740,A,Production Laboratory in the  Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 741,AADM,741,A,Arts Entrepreneurship,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 742,AADM,742,A,Advanced Fund Development,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 745,AADM,745,A,Arts in Education,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 746,AADM,746,A,Creative Placemaking,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 751,AADM,751,A,Management Techniques In the Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 752,AADM,752,A,Performing Arts Management,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,200915,2,,,,AADM 751,AADM,751,GR,C,1,,,,
AADM 753,AADM,753,A,Visual Arts Organization Management,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 755,AADM,755,A,Community Cultural Planning,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 757,AADM,757,A,Political Activism in the Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 758,AADM,758,A,Ethics in Arts Organizations,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 759,AADM,759,A,Cultural Organizations in Transition,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 770,AADM,770,A,Technology Tools for Cultural Managers,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 775,AADM,775,A,Technology Management in the Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
